ID,n,obs_mean,pred_mean,R2_adj,RMSPE,RMSE_perc,MAE,MAE_perc,RMSPE_adj,MAE_adj,DW,CCC,Cb,r,mean_bias,slope_bias,random_error,mean_bias_perc_MSPE,slope_bias_perc_MSPE,random_error_perc_MSPE,Model,Parity,maxDIM,Parity_class,Lac_len_group
1509_1,307,16.3566061625645,16.3710886711645,0.951189950624503,1.30229210831923,7.96187237973483,1.04010970134864,6.3589579097964,1.3108599119643,1.05384052248856,2.17523318694484,0.975102016228694,0.999537673753783,0.975553040003664,0.000209743055347955,0.00102730519332479,1.69472768714187,0.0123671825817567,0.0605734996658538,99.9270593177522,Dijkstra,1,349,Primiparous,Group1
1529_3,376,21.7210229121975,21.7151153251464,0.976928299007836,1.31781458549892,6.06700057739407,1.08597133163498,4.99963254964915,1.32488066610052,1.09764844272783,1.84855755287788,0.988443734418739,0.999951267854699,0.988491905749918,3.48995847674348e-05,0.000221198427857365,1.73637918374106,0.00200960933675103,0.01273718380488,99.9852532068573,Dijkstra,3,421,Multiparous,Group2
1665_5,428,32.689845518372,32.6933420680472,0.980532976095693,1.48991127777484,4.55771893121212,1.17336257058921,3.58937936837227,1.49692266369082,1.18443202880232,2.10324055995907,0.990230728433898,0.999941890042082,0.990288274043829,1.22258596310773e-05,0.000116271800319367,2.21970711798072,0.000550755179569859,0.00523785633044772,99.994211388491,Dijkstra,5,484,Multiparous,Group2
1722_3,358,19.4398340075734,19.439405981081,0.887391389269069,1.3879927637758,7.13994143795188,1.09809374479833,5.64867860687767,1.3958125031935,1.1105015837226,1.95113369500286,0.940897587500406,0.998282014181122,0.942516818027832,1.83206678221083e-07,4.51222705359561e-06,1.92651921686024,9.50970175101194e-06,0.000234215989991153,99.9997562743084,Dijkstra,3,408,Multiparous,Group2
1836_1,317,46.4542721534177,46.4528037992013,0.985444065567761,1.41256673890892,3.04076820802152,1.12024806731912,2.41150709157478,1.42156407024988,1.13456433655003,1.97243920698448,0.992742385280461,0.999977133524193,0.992765086319289,2.15606410490121e-06,3.40751891013612e-05,1.99530856061861,0.000108054713836132,0.00170773438456199,99.9981842109035,Dijkstra,1,361,Primiparous,Group1
1925_2,315,29.5172011114116,29.5149614131605,0.977778288890881,1.52326490848125,5.1606007721794,1.22108040140774,4.13684345205638,1.53302952711633,1.23678561557376,2.08718683431202,0.988879898909133,0.999944991414561,0.988934298786002,5.0162482557374e-06,4.23281864761644e-05,2.32028863697563,0.00021618628922387,0.00182422661266648,99.9979595870967,Dijkstra,2,351,Multiparous,Group1
1039_7,391,18.987805481079,18.9794207354925,0.979673865186987,1.34555000258204,7.08639028308381,1.0804532099375,5.69024793841579,1.35248587329153,1.09162068497561,2.00996821096297,0.989830589549438,0.999964481401475,0.989865748193542,7.03039585509352e-05,0.000286897780639367,1.81014760770935,0.00388311360367772,0.0158462865794184,99.9802705998177,Dijkstra,7,442,Multiparous,Group2
1135_6,315,40.6412801205018,40.642584473388,0.970712380603716,1.41968947546971,3.4932203691919,1.13230662311402,2.78609979743926,1.42879014222243,1.14687005235022,2.11778306262141,0.985271237641976,0.999879800418216,0.985389681069535,1.70133645176031e-06,4.17203500479425e-05,2.01547478507296,8.44118622225556e-05,0.00206995649595349,99.9978456316422,Dijkstra,6,359,Multiparous,Group1
1215_8,311,17.5390809220686,17.5431281514192,0.925862841709719,1.42199779440547,8.10759583540227,1.08498056984346,6.18607425705118,1.43123164334096,1.0991171244994,2.02345805296226,0.961828994716001,0.999207233377236,0.962592105608664,1.63800654161333e-05,7.35066353619391e-05,2.02198784059324,0.000810061116594829,0.00363520325503546,99.9955547356283,Dijkstra,8,356,Multiparous,Group1
1376_7,338,31.2595190421568,31.2604953043707,0.951812127600754,1.4948753474806,4.7821444260374,1.17848606549144,3.77000703018536,1.50380005570994,1.19259967106619,1.9957710505631,0.975520014998832,0.999683713088263,0.975828656831085,9.53087910386072e-07,2.09323238157593e-05,2.23463041909351,4.26503894348382e-05,0.000936715021552035,99.999020634589,Dijkstra,7,385,Multiparous,Group1
1428_3,316,19.5364748367326,19.5402928838929,0.947271360069242,1.3655477488,6.98973463847472,1.08482598582007,5.55282360244629,1.37427338230327,1.0987340112793,1.8901319383938,0.973128941659635,0.99957859132263,0.973539199526076,1.45774841180137e-05,0.000165209811490525,1.86454086695712,0.000781751630452948,0.00885976197634441,99.9903584863926,Dijkstra,3,362,Multiparous,Group1
1512_1,345,29.1357826349355,29.1356011320543,0.835410912034871,1.37816943349004,4.73016102144287,1.11399875641095,3.82347291085019,1.38622897256717,1.12706619050375,1.78253348764489,0.911221171594961,0.996095301560039,0.914793163031537,3.29432958662498e-08,2.86742924817834e-06,1.89934808703371,1.73445014032068e-06,0.000150968897649301,99.9998472966521,Dijkstra,1,388,Primiparous,Group1
1530_1,289,32.0781751740113,32.0782721568769,0.890938998710765,1.41146308685133,4.40007288193515,1.14630462720231,3.57347206000363,1.4213335783411,1.16239311319814,1.90897228244467,0.942949319304576,0.998361090590326,0.944497264759201,9.40567621716738e-09,5.87387765357424e-07,1.99222744875043,4.72118452413396e-07,2.94839622738605e-05,99.9999700439193,Dijkstra,1,330,Primiparous,Group1
1669_2,303,37.6903832992721,37.6909078841964,0.979883416323115,1.40439742812617,3.72614259975779,1.12040401283597,2.97265221194397,1.41376018133313,1.13539269528194,1.96401508906717,0.989939429365552,0.99994734003147,0.989991562290067,2.75189342839724e-07,4.0295663612572e-06,1.97232783137172,1.39524848679922e-05,0.000204304654750953,99.9997817428613,Dijkstra,2,344,Multiparous,Group1
1738_3,368,36.4547352781522,36.4567002618164,0.986915764549435,1.41585497427849,3.88387122681161,1.11651415934563,3.06274109749132,1.42361314180149,1.12878354571207,1.96431049238763,0.993465932867916,0.999975479766221,0.99349029348217,3.86116080091473e-06,3.36899026695435e-05,2.00460775712567,0.000192610672079572,0.0016805917002832,99.998126797627,Dijkstra,3,414,Multiparous,Group2
1854_3,359,18.0926938482262,18.0930912433003,0.903579084429149,1.34541234897144,7.43621906310732,1.08084626097662,5.97393771233568,1.35297090478755,1.09302481039608,2.08789802909598,0.949773305677378,0.998717693223137,0.950992770151291,1.57922844949364e-07,3.02172184530052e-06,1.81013120912016,8.72437129141131e-06,0.000166933563831269,99.9998243420652,Dijkstra,3,404,Multiparous,Group2
1950_3,363,27.6735239229901,27.6739431078301,0.905640588799953,1.44098082695401,5.20707384778307,1.13934697306126,4.11710115499507,1.44898633759292,1.15204164685582,2.00017144889845,0.950887710320916,0.998766125032092,0.952062436328987,1.75715930090412e-07,6.69851213255221e-06,2.07641886942101,8.46242301839375e-06,0.000322598202851231,99.9996689393745,Dijkstra,3,412,Multiparous,Group2
